No,デフォ,種別,楽曲名,ﾕﾆｯﾄ,E,N,H,X,M,A,コンボ(EXP),コンボ(MAS),コンボ(APD),時間,BPM,MV,人数,配信日
78,13007,既,drop pop candy,3_VBS,6,12,17,25,29,-,0773,0902,-,1:46,130,3D,4,2021/02/15
79,14008,既,ポジティブ☆ダンスタイム,4_WxS,9,14,18,26,31,-,0965,1154,-,1:56,210,2D,-,2021/02/19
80,10025,公,Brand New Day,0_VS,9,14,19,28,32,35,1260,1316,1894,2:11,185,-,-,2021/02/22
81,25004,書,限りなく灰色へ,5_25,6,12,18,26,31,-,0818,0849,-,2:02,108,3D,5,2021/02/26
82,24004,書,ワンスアポンアドリーム,4_WxS,6,11,16,22,28,-,0683,0871,-,1:53,132,2D,-,2021/02/28
83,15008,既,ボッカデラベリタ,5_25,7,13,18,25,29,-,0884,1119,-,1:57,170,2D,-,2021/03/06
84,10026,既,みくみくにしてあげる♪【してやんよ】,0_VS,7,12,17,24,28,29,0739,0939,1039,1:41,160,-,-,2021/03/09
85,13008,既,威風堂々,3_VBS,6,12,17,24,28,29,0975,1166,1269,2:25,130,2D/3D,3,2021/03/15
86,11009,既,from Y to Y,1_L/n,5,11,16,24,27,-,0847,0982,-,2:36,098,-,-,2021/03/22
87,10027,既,初音ミクの激唱,0_VS,9,14,20,30,34,-,1520,1742,-,2:41,200,-,-,2021/03/30
88,22004,書,天使のクローバー,2_MMJ,9,13,17,27,31,-,0985,1235,-,1:58,193,2D/3D,5,2021/03/30
89,14009,既,お気に召すまま,4_WxS,6,12,18,24,29,-,0808,0988,-,1:53,143,3D,5,2021/04/05
90,12009,既,どりーみんチュチュ,2_MMJ,6,13,17,23,27,-,0873,1074,-,2:20,128,原曲/2D,-,2021/04/12
91,25005,書,アイディスマイル,5_25,7,12,17,25,28,26,0985,1247,1216,2:15,171,2D/3D,5,2021/04/19
92,21004,書,「1」,1_L/n,8,13,16,23,27,-,0619,0814,-,1:38,150*,2D,-,2021/04/21
93,10028,公,花を唄う,0_VS,6,12,19,25,30,-,0807,0878,-,1:51,115,-,-,2021/04/26
94,15009,既,夜に駆ける,5_25,6,11,18,25,30,-,0932,1140,-,2:19,130,-,-,2021/05/01
95,13009,既,幽霊東京,3_VBS,7,13,17,24,27,-,0904,1053,-,2:13,124,-,-,2021/05/03
96,23004,書,シネマ,3_VBS,6,12,18,24,29,29,0616,0800,0992,1:47,124,2D/3D,5,2021/05/08
97,14010,既,KING,4_WxS,7,14,19,25,30,28,1002,1251,1388,2:15,166,2D,-,2021/05/17
98,22005,書,アイノマテリアル,2_MMJ,6,11,16,22,26,-,0643,0814,-,2:04,120,2D,-,2021/05/21
99,11010,既,いかないで,1_L/n,8,13,18,25,29,27,0977,1173,1212,1:56,191,3D,5,2021/05/28
100,12010,既,ロミオとシンデレラ,2_MMJ,7,12,17,24,28,-,0856,1035,-,1:55,170,2D/3D,3,2021/06/07
101,10029,公,泡沫未来,0_VS,8,12,17,25,30,30,0750,0903,1070,1:44,179,-,-,2021/06/14
102,24005,書,トンデモワンダーズ,4_WxS,9,14,19,27,32,33,1122,1224,1631,2:04,172*,2D/3D,5,2021/06/19
103,25006,書,カナデトモスソラ,5_25,6,11,15,22,26,-,0522,0703,-,1:55,158,2D,-,2021/06/21
